Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated
"binary_sensor","binary_sensor.boiler_dhw_3wayvalve","ems-esp Boiler dhw 3-way valve active","off","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"binary_sensor","binary_sensor.boiler_dhw_charging","ems-esp Boiler dhw Charging","off","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"binary_sensor","binary_sensor.boiler_dhw_recharging","ems-esp Boiler dhw Recharging","off","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"binary_sensor","binary_sensor.boiler_dhw_tempok","ems-esp Boiler dhw Temperature ok","off","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"binary_sensor","binary_sensor.boiler_heatingactive","ems-esp Boiler Heating active","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_heatingpump","ems-esp Boiler Heating pump","on","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_hpcompon","ems-esp Boiler Hp compressor","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_hpea0","ems-esp Boiler Condensate reservoir heating (EA0)","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_hpin1","ems-esp Boiler Input 1 state","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_hpin2","ems-esp Boiler Input 2 state","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_hpin3","ems-esp Boiler Input 3 state","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_hpin4","ems-esp Boiler Input 4 state","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_hpswitchvalve","ems-esp Boiler Switch valve","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_pc1on","ems-esp Boiler PC1","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.boiler_tapwateractive","ems-esp Boiler Tapwater active","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.system_status","ems-esp System status","on","","connectivity","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"binary_sensor","binary_sensor.thermostat_dhw_extra","ems-esp Thermostat dhw Extra","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"binary_sensor","binary_sensor.thermostat_hc1_coolingon","ems-esp Thermostat hc1 Cooling on","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"binary_sensor","binary_sensor.thermostat_hc1_vacationmode","ems-esp Thermostat hc1 Vacation mode","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"climate","climate.thermostat_hc1","ems-esp Thermostat hc1","auto","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"device_tracker","device_tracker.ems_esp","ems-esp ems-esp","home","","","08/09/2026, 21:48:14","08/09/2026, 22:32:35"
"number","number.boiler_auxheaterdelay","ems-esp Boiler Aux heater on delay","310","K*min","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_auxlimitstart","ems-esp Boiler Aux heater limit start","0.1","K","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_auxmaxlimit","ems-esp Boiler Aux heater max limit","0.1","K","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_altopprio","ems-esp Boiler dhw Prioritise dhw during heating","30","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_altopprioheat","ems-esp Boiler dhw Prioritise heating during dhw","35","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_comfoff","ems-esp Boiler dhw Comfort switch off","58","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_disinfectiontemp","ems-esp Boiler dhw Disinfection temperature","65","°C","temperature","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"number","number.boiler_dhw_ecooff","ems-esp Boiler dhw Eco switch off","56","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_ecoplusoff","ems-esp Boiler dhw Eco+ switch off","55","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_flowtempoffset","ems-esp Boiler dhw Flow temperature offset","25","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_hystoff","ems-esp Boiler dhw Hysteresis off temperature","0","°C","temperature","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"number","number.boiler_dhw_hyston","ems-esp Boiler dhw Hysteresis on temperature","-2.0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_maxtemp","ems-esp Boiler dhw Maximum temperature","56","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_seltemp","ems-esp Boiler dhw Selected temperature","46","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_seltemplow","ems-esp Boiler dhw Selected lower temperature","44","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_seltempsingle","ems-esp Boiler dhw Single charge temperature","51","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_dhw_tempecoplus","ems-esp Boiler dhw Selected eco+ temperature","43","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_emergencytemp","ems-esp Boiler Emergency temperature","0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_heatingtemp","ems-esp Boiler Heating temperature","85","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_hphystcool","ems-esp Boiler On/off hyst cool","0","K*min","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_hphystheat","ems-esp Boiler On/off hyst heat","0","K*min","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_hphystpool","ems-esp Boiler On/off hyst pool","1125","K*min","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_hpmaxpower","ems-esp Boiler Compressor max power","100","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_mintempsilent","ems-esp Boiler Min outside temp for silent mode","-10.0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_poolsettemp","ems-esp Boiler Pool set temperature","28","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_primepumpmod","ems-esp Boiler Primary heatpump modulation","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_pumpmodmax","ems-esp Boiler Boiler pump max power","100","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_pumpmodmin","ems-esp Boiler Boiler pump min power","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_pvmaxcomp","ems-esp Boiler Pv compressor max power","0","kW","power","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_selburnpow","ems-esp Boiler Burner selected max power","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_selflowtemp","ems-esp Boiler Selected flow temperature","0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
