Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated,attr_id,attr_last_triggered,attr_mode,attr_current
"automation","automation.benachrichtigung","Notify - Haustür offen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1695054779912","2026-08-29T19:04:45.272582+00:00","single",""
"automation","automation.hasutur_wurde_nicht_geschlossen","Notify - Haustür wurde nicht geschlossen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716542222738","2026-08-28T07:23:42.242701+00:00","single",""
"automation","automation.notifiy_spuhlmaschine_an","Notifiy - Spühlmaschine an","off","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716542540573","2024-05-24T15:19:06.578667+00:00","single",""
"automation","automation.notify_garage_geoffnet","Notify - Garage geöffnet","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716542354691","2026-05-14T12:26:32.455283+00:00","single",""
"automation","automation.notify_garage_wurde_nicht_geschlossen","Notify - Garage wurde nicht geschlossen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716542389363","2026-05-14T12:31:32.456014+00:00","single",""
"automation","automation.notify_garage_zu","Notify - Garage zu","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716552924013","2026-05-14T13:09:04.246571+00:00","single",""
"automation","automation.notify_gartentur_nicht_geschlossen","Notify - Gartentür nicht geschlossen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716553291863","2026-08-29T15:53:17.947377+00:00","single",""
"automation","automation.notify_gartentur_offen","Notify - Gartentür offen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716553335406","2026-08-29T15:48:17.946657+00:00","single",""
"automation","automation.notify_gartentur_zu","Notify - Gartentür zu","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716553256756","2026-08-29T16:13:17.066284+00:00","single",""
"automation","automation.notify_haustur_geschlossen","Notify - Haustür geschlossen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716552978633","2026-08-29T19:05:23.061609+00:00","single",""
"automation","automation.notify_keller_nicht_geschlossen","Notify - Keller nicht geschlossen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716542939422","null","single",""
"automation","automation.notify_keller_zu","Notify - Keller zu","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716553019889","2025-07-27T14:58:30.234016+00:00","single",""
"automation","automation.notify_kellertur_offen","Notify - Kellertür offen","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","1716542898556","2025-07-27T14:58:14.494592+00:00","single",""
"automation","automation.ww_v1_8_debug_sensorausfall","WW V1.8 - Debug Sensorausfall","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_debug_sensorfehler","","",""
"automation","automation.ww_v1_8_debug_strategiewechsel","WW V1.8 - Debug Strategiewechsel","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_debug_strategiewechsel","","",""
"automation","automation.ww_v1_8_kosten_und_energie_erfassen","WW V1.8 - Kosten und Energie erfassen","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_kostenabschluss","","",""
"automation","automation.ww_v1_8_nacht_referenz_22_00","WW V1.8 - Nacht-Referenz 22:00","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_lernen_nacht_snapshot","","",""
"automation","automation.ww_v1_8_nachtgarantie_04_00","WW V1.8 - Nachtgarantie 04:00","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_nachtgarantie","","",""
"automation","automation.ww_v1_8_nachtverlust_lernen_05_25","WW V1.8 - Nachtverlust lernen 05:25","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_lernen_nacht","","",""
"automation","automation.ww_v1_8_optionaler_hygienezyklus","WW V1.8 - Optionaler Hygienezyklus","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_hygiene_pruefung","","",""
"automation","automation.ww_v1_8_p0_kritischer_schutz","WW V1.8 - P0 Kritischer Schutz","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_p0_kritisch","","",""
"automation","automation.ww_v1_8_stop_am_effektiven_ziel","WW V1.8 - Stop am effektiven Ziel","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_stop_ziel","","",""
"automation","automation.ww_v1_8_tagesreset","WW V1.8 - Tagesreset","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_reset","","",""
"automation","automation.ww_v1_8_verbrauch_abend_lernen_21_00","WW V1.8 - Verbrauch Abend lernen 21:00","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_verbrauch_lernen_abend","","",""
"automation","automation.ww_v1_8_verbrauch_abend_snapshot_17_00","WW V1.8 - Verbrauch Abend Snapshot 17:00","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_verbrauch_snapshot_abend","","",""
"automation","automation.ww_v1_8_verbrauch_morgen_lernen_09_00","WW V1.8 - Verbrauch Morgen lernen 09:00","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_verbrauch_lernen_morgen","","",""
"automation","automation.ww_v1_8_verbrauch_morgen_snapshot_05_30","WW V1.8 - Verbrauch Morgen Snapshot 05:30","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_verbrauch_snapshot_morgen","","",""
"automation","automation.ww_v1_8_wirtschaftliche_ladeentscheidung","WW V1.8 - Wirtschaftliche Ladeentscheidung","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","ww_v18_wirtschaftliche_ladung","","",""
"automation","automation.ww_v2_ausschalten","WW V2 Ausschalten","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","ww_v2_ausschalten","null","single",""
"automation","automation.ww_v2_einschalten","WW V2 Einschalten","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","ww_v2_einschalten","null","single",""
"automation","automation.ww_v2_nachtgarantie","WW V2 Nachtgarantie","on","","","30/08/2026, 00:01:01","30/08/2026, 00:01:01","ww_v2_nachtgarantie","null","single",""
"binary_sensor","binary_sensor.andreas_iphone_14_focus","Andreas Iphone 14 Focus","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.andreas_iphone_focus","Andreas iPhone Focus","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.andreas_iphone_home_focus","Andreas iPhone Home Focus","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.aral_bonner_strasse_2_status","ARAL Bonner Straße  2 Status","on","","opening","30/08/2026, 00:06:08","30/08/2026, 00:06:08","","","",""
"binary_sensor","binary_sensor.chimneysweeper","Bosch sensors ChimneySweeper","off","","","30/08/2026, 00:01:21","30/08/2026, 00:01:43","","","",""
"binary_sensor","binary_sensor.disk_vm01_0004_1zf11g_dev_sde_gesundheit","Disk vm01: 0004-1ZF11G (/dev/sde) Gesundheit","unavailable","","problem","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.disk_vm01_5_dev_sdd_gesundheit","Disk vm01: 5 (/dev/sdd) Gesundheit","unavailable","","problem","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.disk_vm01_dev_nvme0n1_gesundheit","Disk vm01: Samsung SSD 970 EVO Plus 1TB Gesundheit","off","","problem","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"binary_sensor","binary_sensor.disk_vm01_dev_sda_gesundheit","Disk vm01: SanDisk SDSSDH3 1T00 Gesundheit","unavailable","","problem","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.disk_vm01_dev_sdb_gesundheit","Disk vm01: ST9500325AS Gesundheit","unavailable","","problem","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.disk_vm01_dev_sdc_gesundheit","Disk vm01: 5 (/dev/sdc) Gesundheit","unavailable","","problem","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.disk_vm01_sandisk_sdssdh3_1t00_gesundheit","Disk vm01: SanDisk SDSSDH3 1T00 Gesundheit","off","","problem","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"binary_sensor","binary_sensor.disk_vm01_st9500325as_gesundheit","Disk vm01: ST9500325AS Gesundheit","unavailable","","problem","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.flamestatus","Bosch sensors flameStatus","off","","","30/08/2026, 00:01:21","30/08/2026, 00:01:43","","","",""
"binary_sensor","binary_sensor.fritz_box_7490_verbinden","FRITZ!Box 7490 Verbindung","on","","plug","30/08/2026, 00:01:42","30/08/2026, 00:01:42","","","",""
"binary_sensor","binary_sensor.fritz_box_7490_verbindung","FRITZ!Box 7490 Verbindung","on","","connectivity","30/08/2026, 00:01:42","30/08/2026, 00:01:42","","","",""
"binary_sensor","binary_sensor.fritz_box_7490_wan_status","FRITZ!Box 7490 WAN-Status","on","","connectivity","30/08/2026, 00:01:01","30/08/2026, 00:01:01","","","",""
"binary_sensor","binary_sensor.fritz_box_7490_wan_status_2","FRITZ!Box 7490 WAN-Status","on","","connectivity","30/08/2026, 00:01:01","30/08/2026, 00:01:01","","","",""
"binary_sensor","binary_sensor.garage_gartentur_garage_garage_garten_offnung","Garage Garten Öffnung","off","","opening","30/08/2026, 00:01:09","30/08/2026, 00:01:09","","","",""
"binary_sensor","binary_sensor.gartenhutte_uberhitzung","Gartenhütte Überhitzung","off","","problem","30/08/2026, 00:01:01","30/08/2026, 00:01:01","","","",""
"binary_sensor","binary_sensor.gartenhutte_uberlast","Gartenhütte Überlast","off","","problem","30/08/2026, 00:01:01","30/08/2026, 00:01:01","","","",""
"binary_sensor","binary_sensor.gartenhutte_uberspannung","Gartenhütte Überspannung","off","","problem","30/08/2026, 00:01:01","30/08/2026, 00:01:01","","","",""
"binary_sensor","binary_sensor.gartenhutte_uberstrom","Gartenhütte Überstrom","off","","problem","30/08/2026, 00:01:01","30/08/2026, 00:01:01","","","",""
"binary_sensor","binary_sensor.gartentur_offnung","Gartentür Öffnung","off","","opening","30/08/2026, 00:01:09","30/08/2026, 00:01:09","","","",""
"binary_sensor","binary_sensor.gw01_7580_wan_status","gw01-7580 WAN-Status","unavailable","","connectivity","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.gw01_7580_wan_status_2","gw01-7580 WAN-Status","unavailable","","connectivity","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.haustur_offnung","Haustür Öffnung","off","","opening","30/08/2026, 00:01:09","30/08/2026, 00:01:09","","","",""
"binary_sensor","binary_sensor.hem_borsigstr_22_status","HEM Borsigstr.  22 Status","off","","opening","30/08/2026, 00:06:08","30/08/2026, 00:06:08","","","",""
"binary_sensor","binary_sensor.home_bestpreis_zeitraum","Home Bestpreis-Zeitraum","off","","","30/08/2026, 00:01:00","30/08/2026, 00:30:00","","","",""
"binary_sensor","binary_sensor.home_echtzeitverbrauch_aktiviert","Home Echtzeitverbrauch aktiviert","on","","","30/08/2026, 00:01:00","30/08/2026, 00:31:01","","","",""
"binary_sensor","binary_sensor.home_in_fallender_preisphase","Home In fallender Preisphase","on","","","30/08/2026, 00:01:00","30/08/2026, 00:30:00","","","",""
"binary_sensor","binary_sensor.home_in_flacher_preisphase","Home In flacher Preisphase","off","","","30/08/2026, 00:01:00","30/08/2026, 00:30:00","","","",""
"binary_sensor","binary_sensor.home_in_steigender_preisphase","Home In steigender Preisphase","off","","","30/08/2026, 00:01:00","30/08/2026, 00:30:00","","","",""
"binary_sensor","binary_sensor.home_morgige_daten_verfugbar","Home Morgige Daten verfügbar","off","","","30/08/2026, 00:01:00","30/08/2026, 00:31:01","","","",""
"binary_sensor","binary_sensor.home_spitzenpreis_zeitraum","Home Spitzenpreis-Zeitraum","off","","","30/08/2026, 00:01:00","30/08/2026, 00:30:00","","","",""
"binary_sensor","binary_sensor.home_tibber_api_verbindung","Home Tibber-API-Verbindung","on","","connectivity","30/08/2026, 00:31:01","30/08/2026, 00:31:01","","","",""
"binary_sensor","binary_sensor.ipad_von_andreas_focus","iPad  iPad von Andreas Focus","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.iphone8_von_andreas_focus","iPhone8 von Andreas Focus","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.iphone_von_andreas_camera_motion","iPhone von Andreas Camera Motion","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.iphone_von_andreas_focus","iPhone von Andreas Focus","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.iphone_von_andreas_kiosk_mode","iPhone von Andreas Kiosk Mode","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.iphone_von_nadine_focus","iPhone von Nadine Focus","off","","","30/08/2026, 00:01:00","30/08/2026, 00:01:00","","","",""
"binary_sensor","binary_sensor.lxc_adguard_107_status","LXC zoraxy (107) Status","unavailable","","running","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.lxc_cmk_121_status","LXC cmk (121) Status","on","","running","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"binary_sensor","binary_sensor.lxc_iob_ct_119_status","LXC bookstack (119) Status","unavailable","","running","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.lxc_motioneye_103_status","LXC ollama (103) Status","unavailable","","running","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.lxc_nextcloud_115_status","LXC nextcloud (115) Status","off","","running","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"binary_sensor","binary_sensor.lxc_omada_104_status","LXC omada (104) Status","on","","running","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"binary_sensor","binary_sensor.lxc_openproject_160_status","LXC openproject (160) Status","unavailable","","running","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.lxc_paperless_108_status","LXC paperless (108) Status","off","","running","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"binary_sensor","binary_sensor.lxc_photoprism_101_status","LXC photoprism (101) Status","off","","running","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"binary_sensor","binary_sensor.lxc_pm_112_status","LXC pm (112) Status","unavailable","","running","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"binary_sensor","binary_sensor.lxc_rpx_131_status","LXC rpx (131) Status","unavailable","","running","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
